nmi,batteryCapacityKWh,batteryMaxPowerKW
70010841313,13.3,5
70013419858,10,5
70013329460,10,5
70010990779,10,5
70011927003,10,5
70013122296,15,5
70013338859,15,5
7001325917,14.2,5
70010256313,14.2,5
70010897759,14.2,5
70010529543,14.2,5
70013368055,14.2,5
7001041039,14,5
70013403563,14.2,5
70011745215,14.2,5
70010791764,10,5
7001352805,0,2.8672
70013515087,0,2.8672
70013505717,16,2.8672
70010454527,10,5
70013121111,10,5
70011586774,16,2.8672
70011986221,10,2.8672
70010979616,10,5
70010985976,10,2.8672
70010755958,10,2.8672
70010838331,9.6,2.8672
7001014405,14,5
70010891795,14,5
70010772300,14,5
70010854742,13.5,5
7001192670,14,5
70010373553,14,5
7001049154,14,5
7001331573,14,5
7001152515,14,5
7001072885,14,5
70011646140,14,5
7001329291,14,5
7001321857,13.5,5
7001023000,14,5
7001069943,14,5
7001079599,14,5
7001018023,14,5
7001048298,14,5
70013411484,13.5,5
7001039507,13.5,5
70010925345,13.5,5
70012009826,13.5,5
70010675019,13.5,5
70011765997,13.5,5
70011035107,13.5,5
70010791419,13.5,5
70013508461,9.8,5
70010900837,9.6,2.8672
70010055277,9.6,2.8672
70010047903,16,2.8672
7001350939,0,2.8672
7001351420,0,2.8672
7001148720,13.5,5
70010489557,12.8,5
70010771139,19.2,5
70013404090,10.1,5
70011272944,10.1,5
70012018209,10,2.8672
70011424495,12.8,5
70011469269,10,2.8672
7001352240,0,2.8672
7001349515,0,2.8672
,0,2.8672
7001350576,0,2.8672
70010159708,10,2.8672
7001036244,13.5,5
70012508891,13.5,5
70011824926,13.5,5
70011930009,13.5,5
70013369193,13.5,5
70012007078,9.6,5
70010770585,5,2.8672
70010596378,13.5,5
70010237411,13.5,5
70010018210,13.5,5
70010704352,10,2.8672
70010014085,9.6,5
70010840703,9.6,5
70013153763,9.6,2.8672
70013227481,9.6,2.8672
7001063151,13,5
70011996246,13.5,5
7001042976,13.5,5
70010639235,13.5,5
70010525773,13.5,5
70010564649,13.5,5
70011636167,10,5
70011096702,13.3,5
70011929460,10,5
7001060982,9.6,5
70011905074,13.5,5
70011498086,13.5,5
70011472486,12.8,5
70011497582,10.1,5
70010595834,10.1,5
70010601189,10.3,5
70010982031,10.3,5
70013502092,10.3,5
70010788270,10.3,5
70011441582,10,5
70011778445,10,2.8672
70011978375,10,5
70010800680,9.6,5
70010932201,10,5
488929920,9.6,5
70010259605,10,5
70013381793,10,5
70010488154,9.6,5
7001078570,25.6,5
7011716125,14.2,4.6
70010367507,10,5
70011592310,10,5
7001352231,0,2.8672
70011627387,9.6,5
7001350964,0,2.8672
70010598805,10,5
70013515946,5,2.5
70013160968,13.5,5
70013156057,13.3,5
70011726247,10.1,5
,10,5
70011776598,10.1,5
70013377601,13.3,5
70011716884,13.5,5
70013302673,12.8,5
70011537230,10,2.8672
70011729380,10,2.8672
70010646562,10,2.8672
70010227412,9.6,5
70010643880,14,5
7001341101,13.5,5
70010823473,19.6,2.8672
70010392132,13.5,5
70013328776,14,5
70010325470,10,5
70010248747,10,5
70010991470,9.6,5
70010359627,12.8,5
70013521259,0,2.8672
70010322451,10,5
70010167800,9.6,5
70010042358,9.6,5
70010667410,9.6,5
70011751098,10,5
70011732179,5.04,2.8672
70010298296,5.04,2.8672
70011944205,2.9,2.8672
7001049159,2.9,2.8672
70011013796,8.7,2.8672
70010973451,5.04,2.8672
70013252836,10.1,5
70011609017,5.8,2.8672
70010379773,2.9,2.8672
70010300426,5.04,2.8672
70011753273,10,5
70010786333,2.9,2.8672
70010690982,2.9,2.8672
70011511949,2.9,2.8672
70010018112,2.9,2.8672
70013320825,5.04,2.8672
70010579720,5.04,2.8672
70013238562,13.5,5
7001044793,13.5,5
70010945187,28.4,4.6
70011083426,9.9,5
7001197785,10,2.8672
70013509619,0,2.8672
7001103820,10.7,4.6
7001351257,10,2.8672
70013005080,9.6,5
70011077569,9.6,5
7001185260,12.8,5
ENNE0233369,9.6,5
70010286243,9.6,5
7001088197,9.6,5
7001334551,13.5,5
70010888056,14,5
70013524054,14,5
7001006488,13.5,5
70011062033,9.6,5
70010832113,9.6,5
70010419299,9.6,5
70011013689,9.6,5
70010719896,10.1,5
70010849437,10.3,5
70013508981,0,2.8672
7001345904,0,2.8672
70010817534,9.6,5
70010785620,13.3,5
70010945889,10.1,5
70010317634,10.3,5
70010367258,2.9,2.8672
70011548089,10.1,5
7001337690,10.1,5
70013174826,13.3,5
70013499750,13.3,5
70013349970‬,5,2.8672
70013272505,13.3,5
70010101321,10.1,5
70011897056,13.3,5
70010823053,10.1,5
7001350580,0,2.8672
7001352685,0,2.8672
70010202430,10,2.8672
7001769824,30,5
70013182340,10,5
7001350266,16,5
70010488897,5.1,3
70010245736,5.1,3
70010612028,5.1,3
70010289197,5.1,3
70011509941,5.1,3
70010839933,5.2,3
70010399748,5.1,3
70010455260,5.1,3
70010457330,5.1,3
70010338498,5.1,3
70011835650,5.1,3
70010573658,5.1,3
70010044172,10.2,3
70013280807,5.1,3
70010319523,5.1,3
70010573658,3,3
70010514167,5.1,3
70011874996,5.1,3
7001021486,5.1,3
70011749100,5.1,3
70010500737,5.1,3
70010411249,10.2,3
70011582007,5.1,3
70010558048,5.1,3
70010012056,5.1,3
70011069938,5.1,3
70013333495,5.1,3
70011673845,5.1,3
70013139465,5.1,3
70010954908,5.1,3
70010058750,5.1,3
70011588663,5.1,3
7001068540,5.1,3
70010451640,5.1,3
